image,runtime_seconds
245,0.3761651999957394
246,0.3709548999904655
247,0.3747146000096109
248,0.3696543000114616
249,0.37643750000279397
250,0.36908539998694323
252,0.3782694000110496
253,0.37246639997465536
254,0.3776676999987103
255,0.3740799999795854
256,0.3725415999942925
257,0.37033510001492687
259,0.37444759998470545
260,0.37112409999826923
261,0.3765996999864001
262,0.3782517999934498
263,0.3784680000098888
266,0.37688840000191703
267,0.37443009999697097
268,0.37861859999247827
269,0.37851640000008047
270,0.3710315999924205
271,0.3762679999927059
272,0.3703704999934416
273,0.38625760001013987
274,0.3787473999836948
275,0.3791998000233434
278,0.37591830000746995
280,0.3745131999894511
282,0.37201099999947473
283,0.37376960000256076
284,0.3699372000119183
286,0.3724996000237297
287,0.3724753000133205
288,0.37154310001642443
290,0.37301869998918846
292,0.3712502999987919
293,0.3675261000171304
294,0.37236069998471066
295,0.37268120000953786
296,0.3746722000068985
297,0.3710101000033319
298,0.37444509999477305
299,0.37180970000918023
300,0.37398589999065734
301,0.37385669999639504
302,0.3805675999901723
304,0.3755366999830585
305,0.39410659999703057
306,0.3977510999829974
307,0.38781779998680577
308,0.3926305000204593
309,0.39220899998326786
310,0.3955728000146337
311,0.38931070000398904
312,0.3903855999815278
313,0.3902030999888666
314,0.3954039999807719
315,0.3946273000037763
316,0.38855250002234243
317,0.382049099978758
318,0.38244219997432083
319,0.37279940000735223
320,0.3740008999884594
321,0.37004109998815693
322,0.3747552999993786
324,0.37753929998143576
325,0.38061029999516904
326,0.38332850000006147
328,0.3819218000280671
329,0.3799849999777507
330,0.38018569999258034
332,0.3792306999966968
333,0.3744661999808159
334,0.38077280001016334
335,0.3871394000016153
336,0.38119439998990856
338,0.3793844000028912
339,0.37833159998990595
340,0.3736897000053432
342,0.38222440000390634
343,0.37800290001905523
345,0.375050700007705
347,0.37284709999221377
348,0.37179410000680946
349,0.3721713999984786
350,0.368984000000637
351,0.3746677000017371
352,0.3749218999873847
353,0.376524099992821
354,0.37550279998686165
356,0.3739227000041865
357,0.36959859999478795
358,0.3709337000036612
359,0.3721533000061754
360,0.36988249997375533
361,0.3713834000227507
364,0.3765018999984022
366,0.3830262999981642
367,0.3783103000023402
368,0.3817350999743212
369,0.3804355000029318
371,0.3799068999942392
372,0.37442350000492297
373,0.37176979999640025
374,0.36749639999470674
375,0.36821379998582415
377,0.3697755000030156
378,0.3713409000192769
379,0.37223989999620244
380,0.37362949998350814
381,0.37092450002091937
384,0.3745487999985926
385,0.37447169999359176
386,0.3829464000009466
387,0.3879809999780264
388,0.38687230000505224
390,0.38364019998698495
391,0.37451240001246333
392,0.3711621999973431
395,0.37146530000609346
396,0.38566300002275966
397,0.3771890999923926
398,0.37573910001083277
400,0.3843277999840211
401,0.381406699976651
402,0.38569599998299964
404,0.3876393999962602
405,0.3805374000221491
410,0.37821850000182167
412,0.37536700000055134
413,0.37584890000289306
415,0.38153839998994954
416,0.3740445000003092
417,0.37855280001531355
418,0.37850629998138174
419,0.37174919998506084
420,0.3736118999950122
422,0.3744668000144884
424,0.372815399983665
427,0.37569029998849146
428,0.37651020000339486
429,0.3722641000058502
430,0.37038900001789443
431,0.3714666000159923
434,0.3724649999930989
435,0.37401570001384243
436,0.3763574000040535
437,0.373981000011554
438,0.37752399998134933
439,0.3748201999987941
441,0.38649639999493957
443,0.38486449999618344
444,0.37855120000313036
445,0.3797097000060603
446,0.38169379997998476
447,0.38662059998023324
448,0.3887943000008818
450,0.38421270000981167
451,0.3852478000044357
452,0.38034140001400374
453,0.3820484000025317
455,0.3895825000072364
457,0.37926359998527914
458,0.37704689998645335
459,0.3773432000016328
460,0.3916336999973282
