image,R_z_mean,R_z_std,R_z_skew,R_z_kurtosis,G_z_mean,G_z_std,G_z_skew,G_z_kurtosis,B_z_mean,B_z_std,B_z_skew,B_z_kurtosis
059,-0.08759243283698702,0.4953289563579425,1.1404627533780205,17.320523777318538,-0.08621951440213231,0.5107143526397243,1.0799180401486899,18.825660785523894,-0.04764213476045673,0.5153886143893142,2.960386458060756,61.65343055736247
060,-0.0056554104797424355,0.5744961451985298,0.9858989689253486,16.050068728041236,0.020965733903802217,0.5914814946320304,1.1117453836515552,20.175265982938107,-0.09005043991024074,0.5813411350261203,1.3495269355295267,23.780776641733564
061,0.07390793841127966,0.9407969334714569,-0.03761292357708095,0.43202279878324834,0.11231449425866197,0.9601151096176808,-0.13022541926029216,0.354962795060235,-0.08078390782160841,0.9280571935727054,0.23860038306870068,1.5484580557722456
062,-0.17144511515855493,1.2389878504611347,-0.07487681637245354,0.6202635705388126,0.13639871463418965,1.2225559980675662,-0.16826196719037775,1.2266569692861946,0.15646558563573665,1.23633994945441,0.097074082660157,0.9470893416752739
063,0.14174158872717948,1.1737789906789533,-0.10799737274579094,2.574393537842118,-0.30119385480453253,1.1539694155387217,-0.0566514911937149,3.346724521734995,0.2031352802227073,1.1798200121289544,-0.09081739381581883,3.0353737423007887
064,-0.1078508313630886,0.9371091287196258,0.3199865960498812,2.4667308067645353,-0.1125366037621109,0.9519094054498917,0.3278607798929155,3.2323267142552385,-0.07524815421560237,0.9327351011568888,0.49886391303898053,4.0743909577577595
065,-0.18470556784743092,1.1445324766981577,0.4428535204552416,3.3286227980542478,0.26825623641254104,1.156909403025252,0.42661213895768435,4.853640941456218,-0.19561358950152094,1.128149407900933,0.47821218338202637,5.288356346289667
066,-0.13307369303011016,0.8248476166275676,0.36800612687612494,3.2888915976741417,-0.13599029233455878,0.8314247073917739,0.4154197869591743,4.336491277660428,0.08667810743245036,0.8262537628303542,0.538842212758286,5.36082082877839
067,-0.21733472793074604,0.6107341415313532,3.3482693576393303,61.529179371525615,-0.06823586058998798,0.6406363604019379,3.2087625626172334,59.49825482925762,-0.26747312368083526,0.5854786196821663,5.718808829227501,126.15626477168178
068,-0.19652941460146783,1.0620458130138792,1.245058518676071,6.949315558647264,-0.24156750161840052,1.0849409652605524,1.230038068883693,7.649032618500257,-0.10093375054310566,0.9974909431332281,1.8357009074614532,15.583727184574133
