image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds
089,22.1265832266735,25.74426225637328,3.6176790296997794,0.5205151452584883,0.7335487902761644,0.21303364501767608,0.1948082000017166
090,27.263670441698565,30.425274079005437,3.1616036373068717,0.9179422303074074,0.9589176337406453,0.04097540343323791,0.1847388000023784
091,16.967471380101436,22.00362477211324,5.036153392011805,0.4418846140434403,0.6919124481657611,0.2500278341223208,0.18535279999196064
092,21.144990247967897,26.38092861787412,5.235938369906222,0.6222378394983251,0.8369336257782622,0.21469578627993713,0.18856090000190306
093,15.788282325274771,23.44525581540268,7.6569734901279105,0.25393845854621366,0.5834830054502076,0.32954454690399393,0.18875240000488702
094,16.94314163191057,21.902574433740725,4.959432801830154,0.4817134157254812,0.674094764068461,0.19238134834297982,0.18558400000620168
095,26.832505231837658,30.138626485866936,3.3061212540292786,0.7864539330908192,0.8988854668823159,0.11243153379149662,0.1849381999927573
096,17.368850315559946,26.032902603345057,8.664052287785111,0.20883374292610343,0.5871087879947904,0.3782750450686869,0.1842999999935273
097,19.18617557197891,32.32200003645694,13.13582446447803,0.09704207046364015,0.8155174561050891,0.718475385641449,0.18729469999379944
098,15.492005793134012,25.093635368624753,9.60162957549074,0.0439196845192443,0.38406895057215923,0.34014926605291496,0.1870741999882739
099,28.82331239966039,34.42293906279153,5.599626663131136,0.7131705125223428,0.8795972862912853,0.16642677376894255,0.18624629999976605
100,18.025176454929216,25.885154550771862,7.859978095842646,0.24614676800152302,0.6694088268944757,0.42326205889295265,0.1901689000078477
101,25.964142206202176,30.165243278584054,4.201101072381878,0.6709404638669191,0.8656184978103627,0.19467803394344363,0.1858728999941377
102,18.801766007690787,23.056143292948207,4.254377285257419,0.6837822500550329,0.8330508440722949,0.149268594017262,0.21599840000271797
103,28.993769548608665,31.720793718987,2.7270241703783356,0.862969263054652,0.9261210399381845,0.06315177688353246,0.18863319999945816
104,18.715546667901652,24.418109945347876,5.702563277446224,0.29756898586775543,0.6558609665684445,0.35829198070068907,0.18857150000985712
105,19.44198895774199,23.678869466551802,4.236880508809811,0.6032747036681103,0.7585855718124702,0.1553108681443599,0.18905080000695307
106,27.230537949121466,30.381640402230335,3.1511024531088694,0.722863167585358,0.8682182028566675,0.14535503527130955,0.18787279998650774
107,17.157057383526833,22.740399013689082,5.5833416301622485,0.495716596635539,0.7490266565223253,0.25331005988678623,0.18614469999738503
108,19.44232778600987,24.22523006549558,4.782902279485711,0.6786784746228061,0.8478520391232883,0.16917356450048227,0.186753600006341
109,18.95785303616051,25.653717472096098,6.695864435935587,0.34368362280479464,0.697878557007507,0.35419493420271236,0.18521450000116602
110,17.602576987432087,25.6966121537031,8.094035166271013,0.22490181694458208,0.6561059526423293,0.4312041356977472,0.18719519999285694
111,17.618763756247475,23.914972409695405,6.2962086534479305,0.43604132491120656,0.74117703018598,0.30513570527477346,0.18537500000093132
112,18.877291986187114,24.475113492168564,5.59782150598145,0.3998970845472867,0.6950738368229853,0.2951767522756986,0.18498550000367686
113,23.568783885214188,29.862265896164132,6.293482010949944,0.6004706801561394,0.8681515119791139,0.26768083182297453,0.1838341999973636
114,25.66129864605054,27.37908089854729,1.7177822524967503,0.8967270182450068,0.9303946870401091,0.0336676687951023,0.18593669999972917
115,23.140789923181124,28.374675664178845,5.233885740997721,0.5140782915238052,0.7986702540013036,0.2845919624774984,0.18489230000704993
116,18.346025972289304,26.239797991993754,7.89377201970445,0.34830916528125444,0.7737531289023286,0.4254439636210742,0.18770569999469444
117,19.503995041770615,23.490036623037476,3.9860415812668606,0.43921586544045815,0.6650460891257907,0.2258302236853325,0.1864516000059666
118,19.536843653243952,26.08729992833085,6.550456275086898,0.455246759466444,0.7898616455933277,0.3346148861268837,0.18751840000913944
119,21.956013509330408,25.783197700505745,3.8271841911753377,0.6082691587271606,0.7765430747102241,0.16827391598306352,0.18535379999957513
