image,severity,RG_corr,RB_corr,GB_corr
096,0.9705898097369612,0.02415704434605632,0.03093850454458237,0.0380728585155954
097,0.8716061853707274,0.033715288786892325,0.0412216956073623,0.030374518739694198
098,1.2147659107738993,0.01621229605185521,0.01860189189212824,0.013647609464240927
099,0.439266287974998,0.40591750204120874,0.393168866095534,0.43888425068495046
100,1.1049679376879251,0.059706841127198956,0.04781644801434556,0.06825801719437315
101,0.4693474897097721,0.17631701732244473,0.15338370672751567,0.17583982262013229
102,0.8915766254600701,0.04289233111403716,0.055243490455886335,0.05540070894032496
103,0.4264388199381202,0.4362367311056065,0.45639496588952444,0.4788394858142213
104,1.161049345208861,0.09455057367491218,0.100677890895912,0.0952351866353305
105,0.8423618426493493,0.05387166616344249,0.07113929233387124,0.07883597615432983
106,0.4709789209047453,0.2855319764003101,0.2754676791344041,0.27911400135750986
107,1.2274056915267566,0.044287460543907885,0.047481476345984125,0.06270850412297006
108,0.8691264623766993,0.03938719625395936,0.042555142805398946,0.05052169526323276
109,0.8748115262822712,0.04305675548559183,0.025651485383773404,0.02539136819984039
110,1.217194073290798,0.07398978602613292,0.0641418060346605,0.06916458080704035
111,1.2195408901349245,0.04533487226962589,0.05391707476094495,0.058701005934153755
112,1.1408850882957018,0.05915193105574365,0.07276184773218095,0.0826255140408246
113,0.5879714616850055,0.10904932023902922,0.15833702009387102,0.13445141105491715
114,0.4480927823173178,0.24854307564135608,0.2377009923724589,0.25288673320882876
115,0.8397226390195973,0.13556091840126133,0.1714615061158658,0.16054415294487615
116,0.9589157483049264,0.0251440995656036,0.04239037038406221,0.03769798787755461
117,1.1042246393635586,0.10145067350071102,0.0933504779860994,0.11312155066073698
118,0.9073223691832908,0.0535752476277544,0.05967696443463705,0.06150914307437825
119,0.8422912535189447,0.09736282219757737,0.10046276497207018,0.12435600332736392
120,1.2011294021736103,0.041740712610688,0.04357194459403423,0.056312603822333364
121,1.1315356591123398,0.05713202298321608,0.06277372980636439,0.05550604711569179
122,0.8116265328240008,0.17366967125170918,0.1655622352934613,0.18788437398602748
123,0.9063955814791226,0.05041029452227001,0.055376870360428036,0.05206689970072984
124,0.8971942404597181,0.04023329158007735,0.06661955769764238,0.04285649213324532
125,0.8370610606984351,0.05799725647293524,0.05867569550664603,0.049212247070987945
126,0.9062449252178524,0.09202299519622695,0.08355819975935605,0.0925204819559577
127,1.1481022440686903,0.12358556381766597,0.13483645899878852,0.1335862571399427
128,1.1796017164127373,0.03196371653157532,0.04116377086852074,0.03527322625439187
129,1.1222877509151068,0.05561874526545032,0.07096611795781128,0.054951540789102214
130,1.1660159907398493,0.04790207176421092,0.03856461447507943,0.049636293542997284
131,1.114557572049773,0.040927795620259874,0.03812484762107588,0.06138156882365839
132,1.076534754606134,0.054200674217148644,0.03957219176092534,0.05468754353333342
133,0.8848567890099763,0.11104876752359127,0.10502296495609066,0.11429200300324212
134,1.1669377095736295,0.06569529569920156,0.046525007128534815,0.0458796187449045
135,1.1530823102398569,0.03192870291261638,0.030389959184016203,0.03881414159691976
136,0.9100505635580984,0.10283291294621867,0.11084227683634239,0.12039845095383792
137,1.228814996328909,0.03688048908685026,0.020434136313650427,0.022782262485619858
138,1.127867272606929,0.06208394781326369,0.06908114065356703,0.05917601649482337
139,1.0781293774855822,0.10283372712445134,0.0955829541392656,0.11509005483299119
140,0.9535733608060616,0.06484540262847881,0.06943618451240578,0.06927095568107584
141,0.9236295392928098,0.03267121416801581,0.031021854135765938,0.031505143970846444
142,1.1972456537349856,0.0425765010775238,0.030450836101752626,0.038641897658539225
143,0.734708339088579,0.07804023847291648,0.0840381649037613,0.08096279986698143
144,0.805391122657412,0.07624595059569034,0.09519735990116512,0.0863449651897962
145,0.7088599766245179,0.11829119612630905,0.119203224859635,0.13203182191914686
146,0.9449790615071056,0.03787246817497813,0.040527856513312394,0.037811140310721476
147,0.8730086449612332,0.08563414517705356,0.07528257452747665,0.07736473346694003
148,0.8917063584030827,0.08658425741434425,0.10535608387906457,0.08897603534781556
149,0.4602984086763455,0.28808953239631674,0.3244737370588106,0.3222037887863142
150,1.1536612292538662,0.02682041878391286,0.039556547353353136,0.023514543343477877
151,0.500010721805474,0.5384492471170877,0.5340632140221324,0.533470137383914
152,1.2364336982652373,0.05029886661564509,0.037940159816689224,0.0500250870139035
153,0.8384285502012804,0.097291645186408,0.12468221251535573,0.12121071644724073
154,1.198542994603832,0.03207785703010547,0.039602583477541455,0.04349027126603537
155,1.0246066748716398,0.11491284932985285,0.08855588352860452,0.10337254382711732
156,1.2453809585712114,0.05969744267072872,0.05894824859679133,0.07623950992973699
