image,lag,R_horizontal,G_horizontal,B_horizontal,R_vertical,G_vertical,B_vertical
006,8,0.03708175969548179,0.028908472768692364,0.016074323655566068,0.034162651985150075,-0.008382956438525558,0.02916167515660965
006,9,0.040588232145764284,0.029824186035569716,0.03079252230534648,0.0166808798121302,0.004143173522522376,0.03386023108055195
006,10,0.010146706119180641,0.03628764884854223,0.030420262089607006,0.007516150156217642,0.03314453654086675,0.03529863200639166
007,1,-0.0011927228020966315,0.014985797293303899,0.04023090054123052,0.010481818087070192,0.014019788373244647,-0.008301550495258901
007,2,0.02126089732808994,0.021334980518055692,0.010841889848119018,0.016833757956600668,0.04381810256000485,0.0054298720723371585
007,3,0.005699305215878588,0.01930604365852757,0.024289293314736345,0.002516454908442023,-0.011112108508296933,0.04587046635104862
007,4,0.025305208900288357,0.02380430341047119,0.03193698303604804,0.015592563789465226,0.012745277786463489,0.007911851716967266
007,5,0.006121628554435344,0.01659132200435528,0.0072916449733704935,0.0016888849527299007,0.02553461508003989,0.016707739477115863
007,6,-0.011555564139382656,0.012550308553104392,0.006673595146507864,0.02766743468444515,0.013950336983857146,0.014574408835675791
007,7,0.03708643756153556,0.018492997897154865,0.012311316222872976,0.028240521526980103,0.0052169453167719175,0.027504136579011754
007,8,0.015650038309446813,-0.006893677928769613,0.02586595995321835,0.009307857703043442,0.006976651398050971,0.01834997223149275
007,9,0.005836588465547896,0.0065282644357541044,0.023473315607412896,-0.020380766651978504,0.018532017064247345,0.016047380781828248
007,10,0.023695124258575923,0.002023513900878129,0.033650304360543705,-0.0020587491182212625,-0.0048509273911023585,0.001645003056430938
008,1,0.03740410394517666,0.010128994429111004,0.015990412726884073,0.0024791170253627057,0.00651513719539017,0.0027497082583010654
008,2,0.0417387058280565,0.01219837948093598,0.037014689993436746,0.023805323038251353,0.014342456646440224,-0.011676480871129137
008,3,0.022843717356431276,0.0160864003665155,0.03346879824331104,0.0015969548760816064,0.024007218338205055,0.005848064429445909
008,4,0.024232213994392876,0.010119562244907917,0.019668526680121888,0.01013546984017374,0.020519665496050134,0.009169729370808065
008,5,0.004524946140893971,0.02261477369261298,0.015579121358913218,0.03041750320917083,0.01530809549276713,-0.008706617408381252
008,6,0.02222804986269269,0.004756729735534307,0.03259377051295977,-0.0016686337002862484,0.012768915366905035,0.009415754408090622
008,7,0.01488214061381028,-0.00357756626086675,0.023510057116269426,0.022247837337151893,0.00029238187695912644,0.005872582076913298
008,8,0.012905687151984474,0.039319470016723826,0.025019946669970174,0.011678394878576389,0.014172722814423033,0.044235912500656435
008,9,0.009438245608168848,0.021947688566757446,0.02961855675183435,0.018170887117766512,0.019922630823851394,0.013042812248887013
008,10,0.013562461243445909,0.04295498353562135,0.049573934899484015,0.015010361371846243,0.020362057215994524,-0.0032372038347313935
009,1,0.01137311387681824,0.012790611698384403,0.044443720809826684,0.007563204829825266,0.027610061364417255,0.019782219912117
009,2,0.012472867170192949,0.0025579790980703844,0.004982076255420173,0.04049049849961595,0.031131229362496866,0.008719738813058289
009,3,0.011748106867078428,0.029975664186447946,0.023276908715890145,0.05817611300301822,0.004230360457865073,0.032642079849319175
009,4,0.021855959388517913,-0.00695721780712135,0.05773929381796867,0.04406497132073729,0.02278800340130317,0.018955689266900673
009,5,0.03419838618902434,0.013375003032842121,0.018475267307707446,-0.010390720901714223,0.0008555483561475208,0.019680937937522344
009,6,0.012339778899008547,0.01932230067078612,0.03310809135809649,0.03356340283720942,0.0017713491673770653,0.049246829722458564
009,7,0.04161845723642146,0.01129969109518858,0.004557655479515197,0.006871438751782676,0.014478526818350622,0.021163812468874783
009,8,0.02934043005139118,0.02391817656249686,-0.004536503274107186,-0.00030330635233035417,0.007571700944277364,0.029188265505055468
009,9,0.03570543961238159,0.004623305793152273,0.025496745848127295,-0.004372253496423509,0.010603440961001112,0.012618512375382513
009,10,0.03716029064305083,0.016679625055073588,0.03366791340248943,-0.005355544162832066,0.0062632179733579174,0.009007470045557959
010,1,0.038659534597850466,0.026999708134030014,0.01907308771463803,0.035536868913077536,0.011772045236072259,0.014501754908092765
010,2,0.006809581595109854,0.012313862468757703,0.015947180403765644,0.021468481217020288,0.020673955017195343,0.008533605754453392
010,3,0.019740940607111113,0.023877631754581245,0.024900164547524976,-0.00440366189521252,0.00949087672827823,0.028642299774613772
010,4,0.005455817601639821,0.009356459313954832,0.026467408892955034,0.020140695954422562,0.026937355176685822,0.02076576217115483
010,5,0.017643051259488368,0.014603230232520956,0.021189900591545026,0.03147116270877408,0.005495828112977441,0.007574915836960289
010,6,0.04628804272459504,-0.004352818806555063,0.021014926238086203,0.025181024954598053,0.023837373889906425,0.018297912130705665
010,7,0.013912957093310752,0.002380997046057324,0.02247363608502603,0.00891072755996764,0.021506674726403007,0.02647386881005496
010,8,0.007571958001320901,0.02879019636149268,0.03951268120731144,-0.03037869390576367,0.031447900904403026,0.03521365736907474
010,9,0.02906270954501557,0.05526883762847835,0.03097520325093215,0.01643072766902656,0.023078252540932334,0.03454110584106211
010,10,0.0270204058181114,0.02110395267248702,0.04514901372106891,0.03497780913360934,0.005140696729544798,0.02634470507813679
011,1,0.00888174278593686,0.03888413745504137,0.01587070221914878,0.016206420316823615,0.045451420433004396,0.016029420848435626
011,2,0.027871715280848912,0.01949355757221609,0.02228245811421506,0.007077644776761914,0.033577717459874125,0.03216274974595143
011,3,0.0353420648175543,0.02511373828889599,0.03507003724436545,0.02387168218539111,0.01729371003054024,0.028742201754635342
011,4,0.03877572134033601,0.011760854959910763,0.00924468036161485,0.027527342980992884,0.025662780206166674,0.0024553024944072997
011,5,0.022786478209814772,0.031304584816173625,0.01465886034428087,0.03136914540228174,0.044115332029687385,-0.011537727637594931
011,6,0.026120570335943956,0.0028962469004840527,0.030498781190304337,0.04211519473990395,0.014941468464045173,0.011973712904131423
011,7,0.02587187556583447,0.0006847672463620526,0.013242176584719496,0.0014771943767202037,-0.006696316035253379,0.027063648744828913
011,8,0.018968575522727783,0.015214011037065678,0.0340358210804019,0.020714098044257858,0.009890842206368447,0.018951126966568893
011,9,0.016528406940632054,0.030759975913503514,0.0004104062804062942,0.004419639399019637,0.01886290698924323,0.04437633525029944
011,10,0.010710726778037787,0.024384381873658975,0.00871635927220086,0.016058185961186335,0.021011039962740747,0.01332775169103884
012,1,0.02822345383760064,0.04160203906279135,0.02878809922390035,0.04427053105197996,0.02705278958501374,0.06621895076133186
012,2,0.024260042954048325,0.03104285873765431,0.033474480348106246,0.02597606509281388,0.051467726535599445,0.050308945152655514
012,3,0.024844212184443885,0.021590583111848097,0.042441747790375836,0.04972415717830725,0.050708365248265254,0.04577207128506895
012,4,0.03473398617823673,0.020295722690257294,0.026747105682585443,0.03534303596388972,0.025814098751692684,0.054835725299125705
012,5,0.02598503858403403,0.04314561982867207,0.03907323765158029,0.04251382857879195,0.02836491523348914,0.043515178091818964
012,6,0.019663239477093166,0.018966689936253923,0.02400712335093746,0.03391641747277331,0.052583429902027856,0.023809777692535502
012,7,0.011986756482337909,0.03659200128627054,0.03328062934159518,0.03898189499899059,0.041752724427307535,0.030771263775419277
012,8,0.023885512466618426,0.0348337712833111,0.06833656912435801,0.016301728627698183,0.04207391011330126,0.04494318815958049
012,9,0.038259349744832916,0.008386175290021577,0.023533275962060743,0.022976498281595443,0.022699467628437473,0.030227330978044496
012,10,0.021876689251194785,0.04035136964992342,0.02287073192940153,0.018344473229001092,0.04410087200394105,0.051465219191123415
013,1,0.0347604711885428,0.06597631986764732,0.060685017221396936,0.009553418043526258,0.033392048890512144,0.02187354279249667
013,2,0.047643962783916416,0.06188943696921766,0.06559665945538426,0.00755717140774144,0.037790765556303896,0.015953624410520475
013,3,0.04158941891847031,0.04794616998693019,0.06615891491635761,0.021435211637639784,-0.00801925802325129,0.032401712279649615
013,4,0.03613459324928404,0.025815050723265745,0.007564300889851428,-0.0060909402550424745,0.043241689787057155,0.04774831609960413
013,5,0.03432744642692586,0.05260435942677297,0.04445396145090257,0.02869045351509305,0.03674562906773653,0.011658756241355824
013,6,0.05374932640867049,0.04156271331473231,0.05343700642548202,0.028463159965137437,0.03440679436126024,0.05097214452549061
013,7,0.033370262323999506,0.02879563593874889,0.04973494016061614,0.008674300991758187,0.02050938489225077,0.020308105539139896
013,8,0.052243809616444335,0.0728937443783285,0.05608374527240537,0.010139412973644478,0.04600869507694583,0.020106179243553422
013,9,0.028321369480110804,0.06522912202686083,0.05329113708697967,0.002833764835954935,0.03877208586527371,0.05344759113314821
013,10,0.030481317925339677,0.056630328244298034,0.06376532642614069,0.045826537469811204,0.022732863417551045,0.011284991623672982
014,1,0.016952413892152168,0.004636751229411279,0.03954503138273417,0.003485181912018085,0.02063708808741912,0.046197854943219756
014,2,0.005608864852694725,0.026440442075777715,0.05642916402893376,0.017956522694566615,0.053028462193236856,0.0440759794455714
014,3,0.020154919723852416,0.03781078470382467,0.01053120170350855,0.03598416830897414,0.04575049166603881,0.010164801947336438
014,4,0.028079664672732547,0.027047628039189035,0.009134922398218552,0.011628886103673719,0.026220835104308043,0.021081914130527766
014,5,0.005395778707179082,-0.00793065947514453,0.017973862183076998,0.02976290339979166,0.058726377716592705,0.01169574943883976
014,6,0.035755920522379706,0.036748062483212045,0.030782860275460778,0.010209576929484685,0.016885794435272695,0.017671805162371903
014,7,0.018447528317352736,0.010114832653348026,0.011804800904287448,0.010017482633915449,0.02549479791812559,0.06074983704936045
014,8,0.04731961356320453,0.005242170362448058,0.03860931665704104,0.021168966192841747,-0.002428284668514959,0.01338244588323651
014,9,0.0034834497034616353,0.015594482464563884,0.012940809267092412,0.045736269855288676,0.010975538659577337,0.04054214070711938
014,10,0.02086645117709507,0.026262125590749984,0.012326008644004151,0.020789252514790586,0.014931030809841655,0.022554360050442316
015,1,0.022502891918218554,0.054117126584559486,0.028167172821527444,0.01568479162829311,0.01083192459768354,0.04327327977996403
015,2,0.04516125467901319,0.03765909622493381,0.041873210501429906,0.008821264891189996,0.040245098681296644,0.027163675792722736
015,3,0.0445934771870463,0.05674794374796306,0.034806822838416684,-0.007087404476242334,0.021752557097866845,0.007023873301402295
015,4,0.03874007853068473,0.02419351920792604,0.04388256235505352,0.02314642097209204,0.025679431235893526,0.03178228377625298
015,5,0.02197892815109284,0.03151518443436824,0.029527233249735513,0.02281948394899533,-0.01014325643831562,0.04055363640070463
015,6,0.05785854200187499,0.05356699681332748,0.06595680145770891,0.01118636049287011,0.02975147049874096,0.02300127078015008
015,7,0.02790074030935575,0.04857754540143954,0.05373414809569747,0.010108525932723074,0.025784739645044043,0.029679339284515945
015,8,0.0395693486187773,0.029085968618426453,0.0065638074322074726,0.030614950799371078,0.035636186774301096,0.01982316573132269
015,9,0.023741923076615993,0.031152482291589123,0.028650633479264602,0.016831330678656525,0.035195552635680215,0.004164806829155889
015,10,0.036542740310795366,0.028293603663780087,0.03753446077409543,0.020696511059298556,0.022805625752696512,0.021695982432995194
016,1,0.029319882784087502,0.026357018949617495,0.02364896127205207,0.0011719485789059355,0.002556355872893038,0.015571859091225116
016,2,0.014066502993283584,0.0016208586885262137,0.013992952894733002,0.006744071729548211,0.012998771318998962,0.006948857040886581
016,3,0.0237721981633994,0.010596131549526825,0.00481562547967523,-0.0094129829294482,0.01221549735333202,0.020089187984492163
016,4,0.008883027834468963,0.02496973774660845,-0.00039965535445714935,0.017095555000848094,-0.0001361062449445192,-0.00015029952347046544
016,5,0.03432820592947347,0.003394347574011188,0.010832887145058112,0.0054099152632409294,0.034406698903669354,0.004366420342901494
