image,R_mean,R_std,R_skew,R_kurtosis,G_mean,G_std,G_skew,G_kurtosis,B_mean,B_std,B_skew,B_kurtosis,overall_mean,overall_std,psnr,ssim
230,5.4749236,31.814407,0.10473698,0.22536278,-1.8319855,31.091322,0.15800385,0.3467598,3.8511956,30.891409,0.15748535,0.38271523,2.4980445,31.424767,18.15800515956099,0.35342473805280866
231,3.6586766,19.432503,0.5051092,4.7190537,-0.661707,18.88098,0.5319783,5.119296,5.5558004,18.516504,0.65641135,6.6687613,2.8509233,19.124868,22.403383894410762,0.4630242560983926
232,4.6751156,32.799114,-0.21520522,0.21149778,4.9990325,31.621792,-0.18950835,0.35481787,-2.9027817,32.287727,-0.08620959,0.58245015,2.2571223,32.445885,17.886644646658937,0.07792104867350957
233,8.64105,29.42306,0.16359814,1.5154786,-3.0947073,28.893614,0.1809826,1.605619,9.080764,27.860823,0.1715218,2.148831,4.8757024,29.281225,18.6802426282572,0.5335367922931169
234,-2.6287568,29.203434,0.05921204,0.95322394,3.6396575,28.481667,0.10942661,1.0675211,2.4537265,27.403975,0.15526073,1.583519,1.1548758,28.502636,19.025979136718092,0.4698952922027872
235,1.6057695,25.481573,-0.22521873,1.1763048,-5.1053977,25.362337,-0.21120068,1.2206883,-4.030614,25.937485,-0.1698366,1.0776396,-2.5100806,25.763666,19.869620845365915,0.3442270484159852
236,8.574804,34.099106,0.16126749,0.61277413,-3.156882,33.95755,0.17330292,0.58671856,8.658368,33.016838,0.18205272,0.8213458,4.6920967,34.148643,17.38210753422651,0.4435502897558077
237,4.702286,21.336908,0.38190672,2.837624,4.7918196,21.65346,0.33753842,2.4022279,4.7074213,18.287766,0.7775272,8.830921,4.7338424,20.482378,21.677199233701945,0.56841567222679
238,5.3850083,21.813398,0.22177187,4.662064,3.9699197,21.73983,0.24984331,4.3203225,4.8712735,22.824743,0.22026198,3.41743,4.7420673,22.139256,21.032731239577437,0.6280246652534267
239,0.015186004,23.286623,0.5954179,3.6888862,8.695333,23.010208,0.55432934,3.6247358,-0.15044144,21.41059,0.8069631,5.585952,2.8533592,22.95907,20.845151357515867,0.38416224399007154
240,-2.7732017,28.315361,0.05870257,0.52579904,-2.8084748,26.321718,0.07253565,0.93093586,3.6079075,26.79811,0.058524042,0.8557067,-0.657923,27.325373,19.396965021917786,0.14029135546483268
241,-4.5684104,36.710064,0.017759612,0.3421948,-5.487777,35.327023,-0.01982835,0.38296914,-1.5356156,33.171013,0.038587883,0.83793116,-3.8639343,35.140182,17.162528905320592,0.445808811922473
242,-0.75811636,26.10237,0.2116105,1.6398273,5.4825954,24.015451,0.3830236,2.4238224,-0.7661555,23.57063,0.4468176,2.953364,1.3194413,24.763199,20.2423566067713,0.462741381552675
243,-1.0482804,24.085669,0.307478,2.2831755,4.5487437,24.755507,0.19217488,1.6159506,4.4668283,22.819168,0.37972972,3.299346,2.6557639,24.043379,20.45822679270472,0.35107636904432726
