image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds,severity,severity_group
96,17.368850315559946,25.84914693720262,8.480296621642673,0.2088337429261034,0.5752861424503359,0.3664523995242325,0.1806828999979188,0.9705898097369612,Medium
97,19.18617557197891,31.696662621285945,12.510487049307034,0.0970420704636401,0.7910696819774786,0.6940276115138385,0.1728071000106865,0.8716061853707274,Medium
98,15.492005793134012,25.061188914092742,9.56918312095873,0.0439196845192443,0.3912296511801867,0.3473099666609424,0.1798762999969767,1.2147659107738993,High
99,28.82331239966039,33.9563043248967,5.132991925236308,0.7131705125223428,0.8685697310180487,0.1553992184957059,0.1825321000069379,0.439266287974998,Low
100,18.025176454929216,25.577451582806532,7.552275127877319,0.246146768001523,0.6579237810312887,0.4117770130297656,0.1788846999988891,1.1049679376879251,High
101,25.964142206202176,29.729021940060058,3.7648797338578817,0.6709404638669191,0.8537291876880717,0.1827887238211526,0.1731143000070005,0.4693474897097721,Low
102,18.801766007690787,22.66004665749261,3.858280649801824,0.6837822500550329,0.8184983653492988,0.1347161152942658,0.1732931000005919,0.8915766254600701,Medium
103,28.993769548608665,31.4311160334827,2.437346484874034,0.862969263054652,0.920228669289884,0.057259406235232,0.1748642000020481,0.4264388199381202,Low
104,18.71554666790165,24.23075846005257,5.515211792150918,0.2975689858677554,0.6433829008252024,0.345813914957447,0.1754192000080365,1.161049345208861,High
105,19.44198895774199,23.371826362995456,3.9298374052534655,0.6032747036681103,0.7432406785631499,0.1399659748950396,0.1690174999966984,0.8423618426493493,Medium
106,27.230537949121462,30.163032082040697,2.9324941329192318,0.722863167585358,0.8619137629533945,0.1390505953680365,0.1715635000000475,0.4709789209047453,Low
107,17.157057383526833,22.38439751778907,5.227340134262235,0.495716596635539,0.7297787104717118,0.2340621138361728,0.1941536999947857,1.2274056915267566,High
108,19.44232778600987,23.645309201155484,4.202981415145615,0.6786784746228061,0.8303882239816471,0.151709749358841,0.1738825000065844,0.8691264623766993,Medium
109,18.95785303616051,25.369928866137165,6.412075829976654,0.3436836228047946,0.6864549377709163,0.3427713149661216,0.1726922000088961,0.8748115262822712,Medium
110,17.602576987432087,25.57301231198605,7.970435324553968,0.224901816944582,0.6496457983654138,0.4247439814208317,0.1751522000122349,1.217194073290798,High
111,17.618763756247475,23.5210020230412,5.902238266793724,0.4360413249112065,0.7257303211261767,0.2896889962149702,0.1743271000013919,1.2195408901349245,High
112,18.877291986187117,24.138064509616243,5.260772523429129,0.3998970845472867,0.6796450983704428,0.2797480138231561,0.172705599994515,1.1408850882957018,High
