image,severity,R_mean,R_std,R_skew,R_kurtosis,G_mean,G_std,G_skew,G_kurtosis,B_mean,B_std,B_skew,B_kurtosis
231,0.7607732470281346,0.04568291225330196,0.9999999999999999,0.8482402507980199,9.958951503530775,-0.17413368508570076,0.9834255191145597,0.9728038770259761,12.551402104810624,0.1281315364610195,1.003960667135864,1.1173237087521732,13.98712923053833
232,1.0550139719012803,0.16164393946739442,0.9927205793200836,-0.05022725971216691,0.2602530014809066,0.1801206349156312,1.0000000000000002,0.03685807842528779,0.6275583936137883,-0.1233250521677315,1.0063248269505705,0.2272792477833225,1.1287201107556752
233,1.1777367174219897,0.22909424876042697,1.0039297948784778,0.5211654909267049,2.3941428966395986,-0.18156912405880068,0.9883270103604173,0.5558602862005977,2.5453105162789633,0.24318035318177783,1.0,0.6536155874577891,3.6885578322445145
234,0.95145666471314,-0.11311554216527256,1.0,0.2003666778489374,1.7280430506472912,0.11405942974190303,1.0178671273211872,0.27623374038988086,2.413615892935593,0.03844539839487587,0.9846234277777313,0.43267963403714566,3.9067343780663393
235,0.834121336825246,0.19262024870990105,0.9777154818753414,-0.11384798545628147,2.6192235124438836,-0.08537679834149352,1.009369881976621,-0.032750402683851494,2.97137448573588,-0.04588551962967223,0.9999999999999999,-0.05822965115161974,2.1646994667934543
236,1.231128077823031,0.20201378822087815,0.9999999999999999,0.3431910222715848,0.8864687566003542,-0.13868907979345158,0.9776859867400636,0.33370057228240474,0.7854172564405113,0.2054767082137768,1.0017297794268012,0.42376198403877985,1.4356516009243059
237,0.7789789123281858,0.12935079036034297,0.9982598212076501,0.5934520229878301,5.337465251414203,0.149552889119629,0.9999999999999999,0.5881948500807476,5.750965949382897,0.06609388410720334,1.007484169812609,1.4238342779414987,18.609457281590736
238,0.9037135665695286,0.15300052057874633,0.9860141476683029,0.8368803823383826,9.684253753800531,0.12281697491946612,1.0,0.755028375322503,8.80862566096032,0.1669133400261407,1.0185111167165393,0.5909818508268833,6.017990959758151
239,1.0508569183445255,-0.18236732168530673,1.0,1.0220975954688833,5.727890610868565,0.2421335418053088,1.0382873010133606,0.8620201117758208,5.785830903468607,-0.22481156276612463,0.9712266304757536,1.2990538570604109,8.417182001095192
240,0.9009136008332572,-0.12418730271994619,0.9999999999999999,0.14779617878106863,0.5469552105343278,-0.13205397596578378,1.0042669342771997,0.24076733321964142,1.2107268021847863,0.10986923849949368,0.9891158064536326,0.2098920932009397,1.141713312750321
241,1.1434214162983976,-0.1322590759742495,1.0086080151760748,0.04991363521955724,0.4755701209226899,-0.14326687698020651,0.9855984896991061,0.006329656659651277,0.6690729963654514,-0.0802430002106916,1.0,0.27771656965001545,1.3841231989778766
242,0.9257026760868012,-0.10332830854289972,1.0021488275872352,0.4581615073385109,3.0484023842468373,0.13496175853148337,0.9999999999999999,0.7104162478272102,5.850455588900033,-0.1658571342894584,0.9752368482634252,0.8355730558399199,6.6743150185006925
243,0.8652968281404169,-0.15317896166936443,1.0,0.6018646932381504,4.3641281522231905,0.13936104917314837,1.0274839079022295,0.4176002326718841,3.005389843349932,0.06885404845615986,0.9963400919668007,0.8108754374646339,7.370856026243832
244,0.3196820385097267,-0.25730953555853997,1.0000000000000002,7.111746060031842,189.0063649729435,0.05070917831749309,0.9623720028095216,7.461433809033246,206.62124720325983,-0.37643745619914715,1.2011853031149216,11.014337310780464,332.33726942779026
245,1.188333539391302,-0.08655268230895956,0.9719819546353837,0.6588050568103385,3.1258521452525585,0.26334087655895216,1.0133598261048276,0.5761798787134319,2.8873786857367953,0.21493967271794448,0.9999999999999999,0.6419393270031206,3.1280778401878173
246,0.9040601530078668,0.08803178707186664,0.9999999999999999,0.4381152997484448,3.741663713070886,0.16474456519636388,1.0214882533249605,0.4146269780104824,3.5879553016487025,-0.15199635189749997,0.9974518670078177,0.6027370902744859,5.457380503860822
247,0.5836623018626741,-0.031267226615929206,1.0,1.4822431678671122,24.53867388427248,-0.003920479594946037,1.0262657799214892,1.368320833016369,22.339799465966788,-0.00816820016758902,0.9923244813203781,1.7801728665222734,31.502560838442854
248,0.7545846036547154,-0.032900014254209506,1.0,-0.13886167863200094,3.191571768153316,-0.03498143443728859,0.9964912869701956,-0.05926199791717959,4.365008135196657,0.17263272250863101,1.0188114377808077,0.07143563053457974,6.29761534032431
249,0.9418203493700398,-0.058138915653082594,1.0002856687356694,0.017460638002217463,0.07007459754093182,-0.08058679259859484,1.0,0.1269437542011354,0.24447632520085394,-0.09856499955907634,0.988339279447061,0.16896395400670808,0.3611018174917482
250,0.9514101208723112,-0.20049343420565366,0.9793168684283211,1.1529107698123926,9.321425013211876,-0.2695040217958447,0.9999999999999999,1.2141730266943294,10.964547268339627,0.09665080644057882,1.0243546269042205,0.9683131840829137,7.216344094711394
251,0.9555668207595271,0.10928995388652321,1.0,0.12205531685955874,0.48263375161859123,-0.09417085096540886,1.0119076875662643,0.21209080104438618,0.8231732338543587,0.10267115835907302,0.9953565859525801,0.21301976321472557,0.7643410762187157
252,0.7499265225860248,0.17841033948261004,0.9766525451293504,-0.0740176014868075,1.5613863939361599,-0.08670332897961246,1.003191686148196,-0.24769347290983215,1.342195735989037,-0.13132272697051728,1.0,0.0179668397897704,2.866135318065206
253,1.1617129157935149,-0.14361482086736677,0.9999999999999999,0.41920161845671294,1.1808123836842892,-0.15376056891794299,0.9801601618815339,0.49097066158723457,1.9334915516335416,0.19611053453357152,1.0268510982713581,0.4798446509258619,1.644770899204289
